"","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases","Neonatal tetanus - number of reported cases"
"Country"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"," 1999"," 1998"," 1997"," 1996"," 1995"," 1994"," 1993"," 1992"," 1991"," 1990"," 1989"," 1988"," 1987"," 1986"," 1985"," 1984"," 1983"," 1982"," 1981"," 1980"," 1979"," 1978"," 1977"," 1976"," 1975"," 1974"
"Afghanistan","","4","12","17","13","21","20","23","","12","40","33","39","81","121","595","211","139","88","310","","","","","","","0","3","","","","","","","","121","14","16","","","","","",""
"Albania","0","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","2","6","3","3","1","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Algeria","0","0","0","0","0","0","0","0","0","3","4","5","8","3","3","4","15","","17","16","19","16","15","21","40","33","29","27","38","36","","","","","","","","","","","","","",""
"Andorra","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","18","","36","19","33","6","75","13","66","89","70","60","89","100","117","173","311","131","78","164","126","116","101","814","634","604","634","959","1466","835","363","29","550","912","851","745","690","541","472","1255","1144","364","143","336"
"Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
"Argentina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1","0","2","0","4","4","4","11","5","13","18","8","18","21","17","18","19","0","0","0","0","0","0","0","","","",""
"Armenia","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Australia","","0","0","0","0","0","0","0","0","0","0","","0","0","","","","","","0","0","","0","0","0","0","","","","","","","","","","","","","","","","","",""
"Austria","","","","","","","","","","","","","","","","","0","","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Azerbaijan","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","","","1","2","3","3","1","3","0","","","","","","","","","","","","","","","","",""
"Bahamas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
"Bahrain","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","3","0","2","4","1","2","5",""
"Bangladesh","95","110","117","","108","109","98","117","121","152","206","256","341","748","390","336","436","376","479","910","689","759","735","834","720","588","602","740","1105","1029","","","","1265","","","","1068","","","","","",""
"Barbados","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
"Belarus","0","0","0","","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Belgium","0","","","","","0","0","0","0","0","0","0","","0","0","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","2","0","2","3","2","0","0","0","","","",""
"Benin","","7","7","3","8","4","6","3","4","7","9","7","12","17","25","24","24","52","54","10","24","16","30","75","70","63","23","247","266","371","441","388","","","","","","","","","","","",""
"Bhutan","0","0","0","0","0","0","0","0","0","0","0","1","0","0","","","","0","49","0","0","0","0","1","0","2","0","1","2","3","0","71","4","32","","","","","","","","","",""
"Bolivia (Plurinational State of)","2","0","0","0","0","0","1","0","1","0","1","2","5","4","3","2","3","2","2","9","14","14","20","21","21","42","53","46","102","118","86","69","9","0","0","0","0","0","0","0","","","",""
"Bosnia and Herzegovina","0","0","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Botswana","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","1","0","1","2","1","1","3","0","2","14","21","4","2","","","","","","",""
"Brazil","0","1","0","1","3","2","6","6","3","6","5","8","10","14","15","31","17","34","66","72","74","86","128","185","218","229","272","298","392","403","464","497","684","602","706","572","0","0","0","0","","","",""
"Brunei Darussalam","0","0","0","0","","0","0","0","0","0","","","0","0","0","","0","0","0","0","0","","","","0","0","","0","","0","1","0","0","0","0","1","1","0","","","","","",""
"Bulgaria","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Burkina Faso","1","1","0","3","0","1","2","2","6","8","13","4","8","4","16","4","12","22","19","","8","15","18","20","19","39","42","100","150","211","257","269","227","46","","","","","","","","","",""
"Burundi","0","1","1","3","1","1","2","2","11","","14","17","16","","40","45","","16","32","18","1","21","12","16","19","25","19","25","64","141","104","123","127","278","","","","","","","","","",""
"Cabo Verde","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0","4","2","7","0","2","6","8","10","35","42","25","","","","","","","","","","",""
"Cambodia","14","10","10","18","13","15","9","19","27","34","50","69","68","146","238","169","165","295","173","84","34","9","8","147","88","","121","","","","","","","","","","","","","","","","",""
"Cameroon","51","58","26","33","43","23","31","29","39","43","48","175","36","64","196","322","207","279","238","197","171","274","57","69","271","380","449","382","490","358","394","492","537","904","","","","","","","","","",""
"Canada","0","0","0","0","","","0","0","0","0","0","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"Central African Republic","105","208","96","24","68","65","49","20","15","25","68","23","20","36","31","32","38","37","48","16","39","17","45","8","22","14","31","32","35","23","96","38","63","59","87","78","37","","","","","","",""
"Chad","47","172","195","154","176","225","215","279","146","163","100","161","191","232","353","446","475","142","212","652","844","514","555","606","610","529","546","738","729","925","1043","316","149","183","115","625","","","","","","","",""
"Chile","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","3","2","0","3","5","3","3","0","0","8","12","0","0","0","0","","","",""
"China","93","177","306","426","492","674","","1057","1412","1786","2112","2519","2761","2954","2245","2136","2608","3230","3616","3777","3962","2543","","","","","","","","","","","","","","","","","","","","","",""
"Colombia","4","2","3","2","0","2","2","2","4","3","4","4","9","8","7","12","15","10","19","21","24","26","35","61","77","86","99","133","135","193","203","211","252","294","306","87","61","0","0","0","","","",""
"Comoros","0","0","0","0","0","","0","2","3","3","1","0","1","0","0","0","","","2","0","0","1","2","9","17","17","17","6","7","10","17","17","","","","","","","","","","","",""
"Congo","0","0","9","2","5","2","0","2","2","3","3","20","12","14","9","8","8","2","3","","0","7","5","9","6","14","15","18","9","9","40","21","2","24","1","0","38","80","","","","","",""
"Cook Islands","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","",""
"Costa Rica","0","0","","0","0","0","0","0","0","0","0","0","0","0","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","2","2","1","2","5","11","11","15","",""
"Côte d'Ivoire","11","3","9","12","15","9","3","3","8","15","31","32","2","14","12","20","19","30","83","95","241","351","311","","300","276","350","364","433","608","448","578","","","","","","","","","","","",""
"Croatia","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","","","","","","","","","","","","","","","","",""
"Cuba","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
"Cyprus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
"Czechia","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Democratic People's Republic of Korea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","6","0","2","3","4","0","3","1","0","1","4","","","","","","","","","","","","","",""
"Democratic Republic of the Congo","253","80","330","201","","1252","888","990","731","737","379","717","1524","721","465","1083","1176","77","448","343","107","194","83","306","95","47","272","120","135","175","168","146","208","235","206","252","103","","","","","","",""
"Denmark","0","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Djibouti","","","","","","0","","0","0","0","0","1","0","0","0","","0","0","0","0","","0","0","","0","0","0","0","0","0","0","","0","0","","7","","","","","2","4","",""
"Dominica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
"Dominican Republic","1","2","1","0","0","1","2","0","1","2","2","4","4","5","4","1","0","4","1","0","0","0","1","1","0","5","4","12","13","33","7","8","12","15","19","6","10","14","46","49","","","",""
"Ecuador","1","1","1","0","0","1","2","2","5","2","2","4","6","12","7","9","8","6","14","24","25","36","51","58","81","71","80","88","58","126","80","74","91","80","67","66","47","28","0","0","","","",""
"Egypt","7","2","6","","9","6","20","20","11","36","34","46","58","71","116","176","194","321","383","471","482","643","790","993","1277","1830","2728","3275","3448","6554","6901","7256","6633","5967","6044","5224","3708","2965","2189","2025","","","",""
"El Salvador","0","0","0","0","0","0","0","2","0","0","0","0","1","1","0","0","1","3","3","0","2","5","3","9","18","25","18","25","25","33","26","39","52","54","38","92","88","61","0","0","","","",""
"Equatorial Guinea","4","5","1","0","0","0","3","0","2","4","1","1","0","2","1","0","2","","","","0","2","0","5","4","1","34","3","34","45","33","2","8","8","","","","","","","","","",""
"Eritrea","0","0","0","0","0","0","0","0","0","1","","0","0","3","1","3","1","4","1","4","1","2","1","","","","","","","","","","","","","","","","","","","","",""
"Estonia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Eswatini","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","2","4","6","3","8","10","25","126","133","28","35","19","","","","","","","",""
"Ethiopia","20","18","18","20","16","40","33","75","50","66","62","102","57","55","43","56","11","20","35","16","27","5","","","","94","","39","300","","107","117","151","145","157","220","","","","","","","",""
"Fiji","","","","","","","","0","0","0","0","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1"
"Finland","0","","0","","","","","","","","0","","0","","","0","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"France","0","","","","0","","0","","0","","","","","","","","","0","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","",""
"Gabon","4","3","","0","0","2","0","3","5","6","0","3","0","0","","3","1","8","","","","0","","","12","7","","4","9","16","9","11","4","2","2","0","2","0","","","","","",""
"Gambia","1","0","0","0","0","0","2","0","0","0","0","0","6","3","3","3","0","2","1","","0","1","6","8","13","21","18","44","","","17","65","27","","","","","","","","","","",""
"Georgia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Germany","","","","","","","","","","","","","","","","","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ghana","6","5","0","1","1","0","5","1","8","8","10","29","44","11","37","70","64","80","78","100","105","108","159","144","9","8","","","","","","","","","","","","","","","","","",""
"Greece","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","","","","","",""
"Grenada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Guatemala","0","0","0","0","0","0","1","0","1","1","2","2","0","1","1","3","5","7","2","6","8","12","9","18","19","24","15","60","103","110","143","8","17","0","0","0","0","0","0","0","","","",""
"Guinea","103","113","","75","51","8","17","64","21","28","27","58","99","178","238","362","228","245","287","272","280","289","120","171","73","81","452","53","119","172","336","265","80","","","","","","","","","","",""
"Guinea-Bissau","0","0","0","0","0","0","0","","1","0","4","4","10","11","28","6","41","","12","","5","8","5","24","36","66","79","45","84","88","155","147","108","1","159","","","","","","","","",""
"Guyana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1010","1010","0","1010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
"Haiti","3","","13","3","15","0","0","0","0","16","38","53","71","33","4","27","84","40","42","1","33","","78","","","","","143","153","63","75","57","57","98","125","68","4","0","0","0","","","",""
"Honduras","0","0","2","0","0","2","2","1","1","1","0","0","0","1","4","2","1","0","2","6","1","4","3","10","5","10","18","39","20","24","21","24","20","20","0","2","1","0","0","0","","","",""
"Hungary","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"Iceland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0"
"India","295","227","491","492","415","588","734","521","898","876","1076","625","821","1183","1720","1580","1718","3287","610","2049","3011","1313","1783","2285","4439","4011","11241","9313","11114","11849","","","","","","","","","","","","","",""
"Indonesia","25","33","79","75","69","106","114","147","158","183","141","118","132","210","177","64","82","466","54","63","546","815","807","679","652","755","618","1427","1448","1050","135","494","662","999","612","1283","1506","954","1102","922","633","457","703","523"
"Iran (Islamic Republic of)","1","0","5","1","3","2","3","2","3","4","3","7","1","","2","8","7","13","12","14","14","21","13","21","12","18","9","26","46","85","95","","","","","107","","","","","","","",""
"Iraq","8","5","6","3","10","11","10","11","17","9","6","9","18","16","","","22","37","49","38","73","76","64","89","171","233","106","152","214","282","104","310","680","634","721","922","803","891","927","958","892","1027","",""
"Ireland","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","",""
"Israel","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","1","2","1","0","0","0","1","2","1","0","0","0","0","2","2","1"
"Italy","0","","0","","","0","0","0","0","","0","0","0","0","0","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Jamaica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","2","2","0","3","0","9","0","","","",""
