"","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases"
"Country"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"," 1999"," 1998"," 1997"
"Afghanistan","53","42","59","43","367","","750","46","501","415","152","196","","","","","","","","",""
"Albania","0","2","","","0","1","5","5","0","0","0","0","0","0","9","12","10","1752","15","",""
"Algeria","110","13","3","3","414","420","170","212","23","1339","","","","","","","","","","",""
"Andorra","0","0","","","0","0","0","0","0","0","0","22","0","0","0","","0","","","",""
"Angola","20","12","230","112","36","65","24","38","10","28","25","14","10","43","22","0","","","","",""
"Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
"Argentina","0","0","0","2","0","1","1","0","4","2252","90","299","0","6","8","3366","3512","","10831","29856","47137"
"Armenia","0","0","0","0","4","1","0","0","4","4","87","13500","620","733","333","1318","5936","673","340","",""
"Australia","11","17","18","17","26","35","60","42","25","38","36","","31","44","56","253","262","313","379","",""
"Austria","39","3","1","11","","23","2","2","252","7","13","","","","","","","","","",""
"Azerbaijan","0","0","0","0","0","0","0","1","","0","4","127","1025","5796","1055","1197","441","219","504","",""
"Bahamas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","2","19"
"Bahrain","0","0","1","8","2","4","3","6","9","2","5","3","7","2","7","0","1","2","4","",""
"Bangladesh","299","165","189","381","3034","3245","5631","12963","13076","5526","13226","3418","9229","327","","","","","","",""
"Barbados","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","1","","",""
"Belarus","1","0","1","1","1","10","20","0","3","2","7","2360","3812","4492","1625","5173","6857","16034","44443","",""
"Belgium","1","1","","","","0","","","","","","","","38","58","8","3","","","",""
"Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","8","11","4","107"
"Benin","","3","40","8","10","41","20","1","15","97","29","8","2","30","","","","","","",""
"Bhutan","9","3","1","0","6","2","3","9","15","2","3","11","81","12","350","","0","0","4127","",""
"Bolivia (Plurinational State of)","0","0","0","0","0","0","0","0","0","0","0","2","8","12","41","129","550","434","35","19","84"
"Bosnia and Herzegovina","4","16","8","","","17","31","2784","523","19","25","29","43","43","46","66","","144","369","",""
"Botswana","3","25","5","508","121","163","214","13","1","2","18","409","579","27","","1","6","170","6","",""
"Brazil","","0","0","1","0","0","0","0","0","2201","8739","1631","233","319","563","1256","3769","8781","11763","6729","576"
"Brunei Darussalam","1","0","0","0","","1","2","1","1","0","","","0","0","1","","1","1","3","",""
"Bulgaria","0","2","5","7","10","18","41","39","44","58","88","247","1968","474","252","805","1655","28449","4215","",""
"Burkina Faso","1","1","4","57","27","677","","","","97","4","3","12","49","668","303","49","","","",""
"Burundi","25","29","79","71","7","11","67","247","305","173","15","39","26","","","","","","","",""
"Cabo Verde","0","","0","0","3","18","10","28","11329","9648","","","","","","","","","","",""
"Cambodia","7","4","18","29","104","185","1096","85","528","4211","386","508","","","","","","","","",""
"Cameroon","711","13","277","147","148","147","106","48","33","78","126","58","159","","83","","","","","",""
"Canada","0","1","0","1","2","2","1","12","7","1","1","7","320","","11","16","","28","","",""
"Central African Republic","19","38","354","507","31","11","15","15","32","28","118","12","2","0","","","","","","",""
"Chad","24","24","31","","","","0","3","3","","","46","","","","","","","","",""
"Chile","0","0","0","0","0","0","1","0","0","14","4235","0","47","3","2","287","441","743","1608","4571","3858"
"China","1605","4535","8133","11793","17580","40156","65549","43117","69860","120354","74746","37137","25446","24015","","","","","","",""
"Colombia","0","0","0","0","0","1","1","0","4","4","2","6","85","45","47","1206","70","157","974","1906","226"
